,id,name,country,country_code,abbreviation,week,Year
466,sr:competitor:65576,"Sakamoto, Pedro",Brazil,BRA,SAK,32,2026
467,sr:competitor:251091,"Noguchi, Rio",Japan,JPN,NOG,32,2026
468,sr:competitor:1047289,"Sciahbasi, Matteo",Italy,ITA,SCI,32,2026
469,sr:competitor:87690,"Thompson, Jordan",Australia,AUS,THO,32,2026
470,sr:competitor:682911,"Faria, Jaime",Portugal,PRT,FAR,32,2026
471,sr:competitor:310974,"De Jong, Jesper",Netherlands,NLD,DEJ,32,2026
472,sr:competitor:263917,"Draxl, Liam",Canada,CAN,DRA,32,2026
473,sr:competitor:508496,"Wiskandt, Max",Germany,DEU,WIS,32,2026
474,sr:competitor:412813,"Martinez, Alex",Spain,ESP,MAR,32,2026
475,sr:competitor:614172,"Gannon, Conor",Ireland,IRL,GAN,32,2026
476,sr:competitor:439474,"Jermar, Jan",Czechia,CZE,JER,32,2026
477,sr:competitor:120956,"Alcantara, Francis Casey",Philippines,PHL,ALC,32,2026
478,sr:competitor:215492,"Cui, Jie",China,CHN,CUI,32,2026
479,sr:competitor:255601,"Tenti, Fermin",Argentina,ARG,TEN,32,2026
480,sr:competitor:457167,"Becroft, Isaac",New Zealand,NZL,BEC,32,2026
481,sr:competitor:902257,"Derepasko, Timofei",Neutral,,DER,32,2026
482,sr:competitor:79227,"Sinclair, Colin",Northern Mariana Islands,MNP,SIN,32,2026
483,sr:competitor:851761,"Miguel, Luis Felipe",Brazil,BRA,MIG,32,2026
484,sr:competitor:797330,"Maksimovic, Marko",Serbia,SRB,MAK,32,2026
485,sr:competitor:951299,"Tobon, Miguel",Colombia,COL,TOB,32,2026
486,sr:competitor:165234,"Vasa, Eero",Finland,FIN,VAS,32,2026
487,sr:competitor:353298,"van der Meerschen, Martin",Belgium,BEL,VAN,32,2026
488,sr:competitor:342976,"Jones, Alex",USA,USA,JON,32,2026
489,sr:competitor:342978,"Jones, Miles",USA,USA,JON,32,2026
490,sr:competitor:100317,"Turker, Mert Naci",Turkiye,TUR,TUR,32,2026
